Nome;Roles
Grupo Estrutura Comercial - GT;Leitura
Grupo Gerente Análise de Investimentos;Leitura
Grupo Estrutura Comercial - GR;Leitura
Grupo Estrutura Comercial - Diretor;Leitura
Grupo Estrutura Comercial - CDR;Leitura
Grupo Estrutura Comercial - GDR;Leitura
Grupo Análise da Aprovação;Leitura
Grupo Analista de Finanças B2B;Leitura
Grupo Analista de Planejamento;Leitura
Grupo Ativo;Leitura
Grupo BIN;Leitura
Grupo Cadastro;Leitura
Grupo Check Pipeline;Leitura
Grupo Comitê B2B;Leitura
Grupo Contrato Emissão;Leitura
Grupo Contrato Recebimento;Leitura
Grupo Coordenador de Engenharia;Leitura
Grupo Crédito;Leitura
Grupo Criação e Liberação PEP;Leitura
Grupo Diretor Vendas;Leitura
Grupo Engenharia;Leitura
Grupo Gerente Crédito;Leitura
Grupo Gerente de Planejamento;Leitura
Grupo Gerente Engenharia;Leitura
Grupo Gerente Finanças B2B;Leitura
Grupo Gerente Jurídico B2B;Leitura
Grupo Gerente LDT - Operação de Transportes;Leitura
Grupo Gerente LDT - Programação;Leitura
Grupo Gerente Preços B2B;Leitura
Grupo Gerente SSMA;Leitura
Grupo Gestão;Leitura
Grupo Jurídico B2B;Leitura
Grupo Liberação de Obra;Leitura
Grupo Planejamento Backoffice;Leitura
Grupo Planner;Leitura
Grupo Preços B2B;Leitura
Grupo Preços Cadastro B2B;Leitura
Grupo Solicitação PEP;Leitura
Grupo Sup Vendas;Leitura
